,biol_act,num_of_crit_points,num_of_3_minus_1,num_of_3_plus_1,num_of_3_plus_3,sum_rol,sum_roe,sum_rolroe,sum_rolroe_ala,sum_rolroe_arg,sum_rolroe_asn,sum_rolroe_asp,sum_rolroe_cys,sum_rolroe_glu,sum_rolroe_gln,sum_rolroe_gly,sum_rolroe_his,sum_rolroe_ile,sum_rolroe_leu,sum_rolroe_lys,sum_rolroe_met,sum_rolroe_phe,sum_rolroe_pro,sum_rolroe_ser,sum_rolroe_thr,sum_rolroe_trp,sum_rolroe_tyr,sum_rolroe_val,sum_rolroe_hoh,sum_rol_h,sum_rol_c,sum_rol_n,sum_rol_o,sum_rol_f,sum_rol_p,sum_rol_s,sum_rol_cl,sum_rol_br,sum_rol_i,yon_3_minus_1,yon_3_plus_1,yon_3_plus_3,yon_rolroe_ala,yon_rolroe_arg,yon_rolroe_asn,yon_rolroe_asp,yon_rolroe_cys,yon_rolroe_glu,yon_rolroe_gln,yon_rolroe_gly,yon_rolroe_his,yon_rolroe_ile,yon_rolroe_leu,yon_rolroe_lys,yon_rolroe_met,yon_rolroe_phe,yon_rolroe_pro,yon_rolroe_ser,yon_rolroe_thr,yon_rolroe_trp,yon_rolroe_tyr,yon_rolroe_val,yon_rolroe_hoh,yon_rol_h,yon_rol_c,yon_rol_n,yon_rol_o,yon_rol_f,yon_rol_p,yon_rol_s,yon_rol_cl,yon_rol_br,yon_rol_i
1hvk,10.96,115,84,31,0,2.6706771,2.5908719000000002,5.2615490000000005,0.28824669999999997,0.25431970000000004,0.0,1.6286459,0.0,0.0,0.0,1.0576889,0.0,1.0052729999999999,0.07764560000000001,0.0,0.0,0.0,0.3662996,0.0,0.0,0.0,0.0,0.4332538,0.1501758,3.6102559000000003,0.7316304,0.056744699999999995,0.8629180000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hvl,9.95,96,67,29,0,2.2509761,2.2355166,4.4864926999999994,0.4038545,0.3129251,0.0,1.2804143000000001,0.0,0.0,0.0,0.7476536,0.0,0.9418713999999999,0.0577276,0.0,0.0,0.0,0.3120329,0.0,0.0,0.0,0.0,0.27086619999999995,0.1591471,2.8569161000000003,0.7204524999999999,0.038763099999999995,0.8703609999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hvr,9.51,95,65,30,0,2.3865382,2.3550793999999997,4.7416176,0.1234325,0.2046322,0.0,1.760637,0.0,0.0,0.0,0.9414876999999999,0.0,1.2213271999999997,0.0182421,0.0,0.0,0.0,0.2009421,0.0,0.0,0.0,0.0,0.27091679999999996,0.0,3.3810852999999996,0.7669796,0.0,0.5935527,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1hvs,10.3,93,67,26,0,2.1610206,2.0795974999999993,4.240618099999999,0.4428921,0.29347100000000004,0.0,1.0824384,0.0,0.0,0.0,0.8426838,0.0,1.1183163,0.0567174,0.0,0.0,0.0,0.2971209,0.0,0.0,0.0,0.0,0.1069782,0.0,2.8913137,0.7322274,0.034139,0.582938,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
1hwr,8.33,54,38,16,0,1.4754848999999999,1.4611322,2.9366171,0.115038,0.1254344,0.0,0.7169048,0.0,0.0,0.0,0.5892598,0.0,1.0918514,0.0,0.0,0.0,0.0,0.1987074,0.0,0.0,0.0,0.0,0.09942129999999999,0.0,2.3033632,0.21103249999999998,0.0,0.42222139999999997,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1hxb,9.92,111,76,34,1,3.1360395999999993,3.0874470000000005,6.223486599999999,0.4205852,0.447044,0.0,1.3044159,0.0,0.0,0.0,1.0687246,0.0,1.7562447000000003,0.0332058,0.0,0.0,0.0,0.36966870000000007,0.0,0.057725799999999994,0.0,0.0,0.5066792999999999,0.2591926,4.921972899999999,0.29624019999999995,0.18506479999999997,0.8202087000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hxw,10.82,105,77,28,0,2.378503,2.2838616999999997,4.6623646999999995,0.31927700000000003,0.08009730000000001,0.0,1.2128333000000002,0.0,0.0,0.0,0.9818302999999999,0.0,0.815158,0.031836,0.0,0.0,0.0,0.26005330000000004,0.0,0.0,0.0,0.0,0.39075859999999996,0.5705209,3.0556070999999996,0.6516163,0.34534370000000003,0.5334117,0.0,0.0,0.07638589999999999,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1iiq,7.48,127,84,42,1,3.8773128,3.7486705000000002,7.6259833,0.7426803,0.0352605,0.0,2.2488650999999997,0.0,0.0,0.0,1.5597373,0.0,1.2815544,0.09494230000000001,0.0,0.0,0.1189161,0.5440688,0.0,0.0,0.0,0.0,0.37816890000000003,0.6217896,5.4345611,0.7052210999999999,0.0,1.4862011,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1izh,7.7,124,78,44,2,4.202862100000001,4.1085975,8.311459600000001,0.5879975000000001,0.4163924,0.0,1.8498666,0.0,0.0,0.0,1.8892124999999997,0.0,1.7874933,0.0870683,0.0,0.0,0.301759,0.5259780000000001,0.0,0.0,0.0,0.0,0.144592,0.7211000000000001,5.9192381,0.4641470999999999,0.0509256,1.8771488,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1izi,6.59,109,76,30,3,3.3082558,3.2755431,6.5837989,0.8078963,0.18897039999999998,0.0,1.7903094,0.0,0.0,0.0,1.6070361000000002,0.0,0.6560561,0.0771704,0.0,0.0,0.0,0.43993750000000004,0.0,0.2460684,0.0,0.0,0.31243719999999997,0.45791709999999997,4.6822987,0.4915862,0.0222595,1.3876544999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1k6c,7.48,109,73,35,1,2.8386375000000004,2.7177299,5.556367400000001,0.4566917,0.2797135,0.0,1.5808442999999999,0.0,0.0,0.0,0.7094742,0.0,0.6133795999999999,0.0423411,0.0,0.0,0.0,0.31627930000000004,0.0,0.1548003,0.0,0.0,0.4169536,0.9858898,4.6266241,0.45401499999999995,0.0564671,0.4192612,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1k6p,7.36,110,74,34,2,3.115379200000001,3.0187452999999995,6.1341245,0.393737,0.3858295,0.0,1.9370295,0.0,0.0,0.0,0.8770178,0.0,0.4427465,0.0678607,0.0,0.0,0.0837059,0.2459346,0.0,0.2109481,0.0,0.0,0.37333220000000006,1.1159827,4.778943,0.7490524000000001,0.0,0.6061291,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1k6t,7.62,107,76,30,1,2.6198795,2.4552618999999996,5.0751414,0.37529250000000003,0.1947671,0.0,1.3721617000000002,0.0,0.0,0.0,0.7966856999999999,0.0,0.40655510000000006,0.0589129,0.0,0.0,0.0,0.2662261,0.0,0.1868065,0.0,0.0,0.39653190000000005,1.0212018999999999,4.001489,0.6347126999999999,0.040851399999999996,0.39808829999999995,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1k6v,6.92,118,80,37,1,3.063873200000001,2.8793599000000003,5.943233100000001,0.4279301,0.3693929,0.0,1.4086834000000001,0.0,0.0,0.0,0.813355,0.0,0.6112051000000001,0.0879612,0.0,0.0,0.07763049999999999,0.2215557,0.0,0.1670738,0.0,0.0,0.5957531,1.1626922999999998,4.770196400000001,0.47925819999999997,0.0,0.6937785000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1kzk,10.39,113,84,29,0,2.5231075000000005,2.4280316,4.951139100000001,0.2831069,0.0906154,0.0,1.820642,0.0,0.0,0.0,0.780963,0.0,0.9338453,0.0985258,0.0,0.0,0.0,0.17378020000000002,0.0,0.0,0.0,0.0,0.21787379999999998,0.5517867000000001,3.5759212,0.6871255000000001,0.0,0.45658469999999995,0.0,0.0,0.23150769999999998,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1lzq,8.39,109,75,34,0,3.6954367,3.6294500999999997,7.3248868,0.5228995999999999,0.4592468,0.0,1.4014143,0.0,0.0,0.0,2.1518706,0.0,1.258924,0.1460403,0.0,0.0,0.0678732,0.48780120000000005,0.0,0.34359470000000003,0.0,0.0,0.3303792,0.1548429,5.1211847,0.8291108,0.0,1.3745913,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1m0b,8.82,107,71,36,0,3.9177340000000003,3.8116217000000003,7.729355700000001,0.8303608,0.029899099999999998,0.0,1.92327,0.0,0.0,0.0,2.027638,0.0,1.3338507000000002,0.0285989,0.0,0.0,0.0,0.5364572000000001,0.0,0.0,0.0,0.0,0.44091579999999997,0.5783652,5.41755,0.9505241,0.0158278,1.3454538,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1mes,7.7,89,57,32,0,2.511782,2.5593247,5.0711067,0.2581422,0.0789398,0.0,2.2203038,0.0,0.0,0.0,0.7013491000000001,0.0,0.9381857,0.0,0.0,0.0,0.0,0.3834957,0.0,0.0,0.0,0.0,0.4906904,0.0,3.847511,0.4512563,0.0,0.7723393999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1met,9.4,99,62,37,0,2.7307175,2.7629817999999995,5.493699299999999,0.26434450000000004,0.0,0.0,2.0624653,0.0,0.0,0.0,0.8419493,0.0,1.4702343999999998,0.0148807,0.0,0.0,0.3189269,0.3063604,0.0,0.0,0.0,0.0,0.2145378,0.0,3.9236250000000004,0.8393316,0.0,0.7307426999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1mrw,9.7,119,81,37,1,2.644542199999999,2.643304,5.287846199999999,0.4774509,0.1863901,0.0,1.5911274,0.0,0.0,0.0,0.8818744000000001,0.0,0.9288831,0.1179796,0.0,0.0,0.0,0.2136571,0.0,0.0,0.0,0.0,0.1788852,0.7115984,3.8931645999999995,0.2680302,0.0,0.8581101999999999,0.0,0.0,0.26854120000000004,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1mrx,7.26,121,81,37,3,3.0067659000000004,3.0094193000000002,6.016185200000001,0.42282390000000003,0.0,0.0,1.9376881000000001,0.0,0.0,0.0,0.8727742,0.0,0.9238925,0.043358999999999995,0.0,0.0,0.37681669999999995,0.4738284,0.0,0.0,0.0,0.0,0.2173116,0.7476908,4.411352599999999,0.510319,0.0,0.8358482,0.0,0.0,0.25866540000000005,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1msm,10.48,123,85,38,0,2.9239265,2.7742226000000003,5.6981491,0.35539509999999996,0.1073451,0.0,1.8011843,0.0,0.0,0.0,0.9524577000000001,0.0,1.0902542,0.1022718,0.0,0.0,0.0,0.26623830000000004,0.0,0.0,0.0,0.0,0.30668249999999997,0.7163201,4.0148557,0.8119362,0.0186598,0.6815168,0.0,0.0,0.1711806,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1msn,9.09,99,66,33,0,2.8488234999999995,2.6787204,5.5275438999999995,0.3455988,0.0,0.0,2.0037975,0.0,0.0,0.0,0.8361105,0.0,0.6228829,0.0457432,0.0,0.0,0.32445199999999996,0.40998860000000004,0.0,0.0,0.0,0.0,0.3290115,0.6099589000000001,4.132911999999999,0.6846098,0.0150354,0.5409535999999999,0.0,0.0,0.1540331,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1mtr,8.4,101,74,27,0,2.6478762000000002,2.4878180999999997,5.1356943,0.5604041,0.3261292,0.0,1.2497314,0.0,0.0,0.0,1.0992882,0.0,1.0438811000000001,0.0782707,0.0,0.0,0.0,0.1890799,0.0,0.0,0.0,0.0,0.1724151,0.4164946,4.2553725,0.2953077,0.0,0.5850141,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1nh0,9.74,123,85,37,1,3.4378874000000006,3.3213389999999996,6.7592264,0.45801159999999996,0.41150889999999996,0.0,1.7546186,0.0,0.0,0.0,1.4925634,0.0,0.7725686,0.10163610000000001,0.0,0.0,0.0,0.4700487,0.0,0.0,0.0,0.0,0.3129769,0.9852935999999999,3.9682115000000002,0.8114513999999999,0.0,1.9795634999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1ohr,8.7,99,66,33,0,2.4423316,2.3190402,4.7613718,0.3347369,0.0231252,0.0,1.3944105000000002,0.0,0.0,0.0,0.6942609,0.0,1.2049639,0.057103299999999996,0.0,0.0,0.0,0.2707781,0.0,0.0,0.0,0.0,0.39649880000000004,0.3854942,3.7404677000000004,0.4086053,0.0,0.4675538,0.0,0.0,0.144745,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1pro,11.3,101,65,35,1,2.5128218,2.6169745,5.129796300000001,0.39443510000000004,0.1527085,0.0,2.0880991,0.0,0.0,0.0,0.7848383,0.0,1.250121,0.0295469,0.0,0.0,0.0,0.2125483,0.0,0.0,0.0,0.0,0.1976099,0.019889200000000003,3.0834333,0.6739136000000001,0.0,1.3724493999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1qbr,10.57,102,64,38,0,2.8347190999999996,2.7906031000000007,5.6253222,0.1293006,0.29481809999999997,0.0,1.4558018000000001,0.0,0.0,0.0,1.4717095,0.0,1.830541,0.0,0.0,0.0,0.0,0.2848908,0.0,0.0,0.0,0.0,0.1582604,0.0,3.5347161,0.5736489,0.4422967,0.8874995999999999,0.0,0.0,0.18716090000000002,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0
1qbs,9.47,95,61,34,0,2.3948668,2.4415091999999996,4.836376,0.1402386,0.020591400000000003,0.0,2.0272438999999998,0.0,0.0,0.0,0.7748014999999999,0.0,1.2941595000000001,0.0,0.0,0.0,0.0,0.2478988,0.0,0.0,0.0,0.0,0.3314423,0.0,3.6557779999999998,0.6026125,0.0,0.5779854999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1qbt,10.62,121,75,45,1,3.4232221000000003,3.4101528,6.833374900000001,0.156863,0.20705609999999997,0.0,2.0680234,0.0,0.0,0.0,1.4501869000000003,0.0,2.2972044,0.0,0.220816,0.0,0.0,0.23422010000000001,0.0,0.0,0.0,0.0,0.199005,0.0,3.9892175,1.2636954,0.3996292,1.1808328000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
1qbu,10.24,48,40,8,0,0.9340725,0.9284675,1.86254,0.0763239,0.0419063,0.0,0.5290934,0.0,0.0,0.0,0.48627739999999997,0.0,0.5491945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797445,0.0,0.12401039999999999,0.8577071,0.2068371,0.6502835,0.0,0.0,0.023701899999999998,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0
1sbg,7.74,91,66,25,0,2.2533364,2.2059036,4.459239999999999,0.8022277,0.0147792,0.0,1.0801472,0.0,0.0,0.0,0.9774919,0.0,0.7045120999999999,0.0807513,0.0,0.0,0.0,0.1468177,0.0,0.0,0.0,0.0,0.3275477,0.32496519999999995,3.5588675,0.34241510000000003,0.259084,0.2988734,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1sdt,9.27,136,91,44,1,2.9708674000000004,2.8306861000000003,5.801553500000001,0.5039553,0.1206873,0.0,1.4130802999999998,0.0,0.0,0.0,1.1476614,0.0,1.0865147,0.0639047,0.0,0.0,0.0,0.21090530000000002,0.0,0.0,0.0,0.0,0.4268735,0.827971,4.3140459,0.7534692999999999,0.0172591,0.7167792,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1sdu,10.07,116,84,32,0,2.7408875,2.5894021999999994,5.3302897,0.322989,0.2311416,0.0,1.310334,0.0,0.0,0.0,1.0954435999999999,0.0,0.8528011,0.052501,0.0,0.0,0.0,0.2019099,0.0,0.0,0.0,0.0,0.4077583,0.8554111999999999,4.273162200000001,0.3734923,0.1276348,0.5560004,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1sdv,8.74,135,91,43,1,2.8944269,2.7771179999999998,5.6715449,0.5607075,0.0495886,0.0,1.3537081999999998,0.0,0.0,0.0,1.2580460000000002,0.0,1.1181284,0.0851019,0.0,0.0,0.0,0.32115439999999995,0.0,0.0,0.0,0.0,0.0878012,0.8373087,4.3413942,0.655092,0.0,0.6750587,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1sgu,5.37,95,70,25,0,2.8637398999999997,2.7194876999999997,5.583227599999999,0.5234368999999999,0.1276637,0.0,1.6430074000000001,0.0,0.0,0.0,0.7264713,0.0,1.2466046,0.0468844,0.0,0.0,0.0,0.35637659999999993,0.0,0.0,0.0,0.0,0.13181350000000003,0.7809691999999999,4.1626791,0.6698404,0.1276637,0.6230443999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1sh9,6.03,87,61,26,0,2.8322095,2.6458814999999998,5.478090999999999,0.4204186,0.0,0.0,1.3844083,0.0,0.0,0.0,0.9487553000000001,0.0,1.5515217,0.014936999999999999,0.0,0.0,0.0,0.725289,0.0,0.0,0.0,0.0,0.08979219999999999,0.3429689,4.4049008999999995,0.29730399999999996,0.0602391,0.5942517,0.0,0.0,0.12139530000000001,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1t7j,8.7,81,59,22,0,2.0140075,1.9716764,3.9856838999999997,0.38372399999999995,0.0193965,0.0,1.3746861999999997,0.0,0.0,0.0,0.43321639999999995,0.0,0.6492693,0.0520825,0.0,0.0,0.0,0.13251819999999997,0.0,0.0372615,0.0,0.0,0.5689737,0.33455559999999995,2.9162554999999997,0.2336913,0.0562216,0.7384337000000001,0.0,0.0,0.0410818,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1tcx,6.95,87,65,21,1,2.1100076999999993,2.0245232000000004,4.1345309,0.4365318,0.3158908,0.0,0.8157988,0.0,0.0,0.0,0.9649614999999998,0.0,0.8231283,0.061580199999999995,0.0,0.0,0.0,0.1304451,0.0,0.0,0.0,0.0,0.21898869999999998,0.3672057,3.2906362000000007,0.2566623,0.24208490000000002,0.3451475,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1w5v,8.15,136,92,44,0,3.4315467,3.4118645,6.8434112,0.5084002,0.2187517,0.0,2.480866700000001,0.0,0.0,0.0,0.9620894,0.0,0.9252349000000001,0.33333670000000004,0.0,0.0,0.0,0.22888389999999997,0.0,0.0,0.0,0.0,0.3432394,0.8426083,4.810710800000001,0.7672405,0.0,0.9648664,0.3005935,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1w5w,8.8,126,88,38,0,3.2843512000000006,3.3233945,6.607745700000001,0.4899878,0.3427355,0.0,2.5335738,0.0,0.0,0.0,1.0231135999999998,0.0,0.9547424000000001,0.26257030000000003,0.0,0.0,0.0,0.1358856,0.0,0.0,0.0,0.0,0.33731580000000005,0.5278208999999999,4.3980988,0.7381288,0.0,1.0066095000000002,0.4649086,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1w5x,8.4,137,95,42,0,3.44064,3.4764376,6.917077600000001,0.5282235,0.26664160000000003,0.0,2.3516991,0.0,0.0,0.0,1.049761,0.0,0.9981322,0.3080922,0.0,0.0,0.0,0.1806138,0.0,0.0,0.0,0.0,0.3410725,0.8928417,4.514634899999999,0.8546004999999999,0.0,1.099193,0.44864919999999997,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1w5y,8.48,110,80,30,0,2.6720065,2.7136109,5.3856174,0.4473043,0.3154902,0.0,1.7916494999999997,0.0,0.0,0.0,0.9054042,0.0,0.9723673,0.22121269999999998,0.0,0.0,0.0,0.0537879,0.0,0.0,0.0,0.0,0.33427450000000003,0.3441268,3.4419562,0.6835564000000001,0.0,0.9730068000000001,0.287098,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1z1h,8.4,95,70,24,1,2.263147499999999,2.1449534999999997,4.4081009999999985,0.49462620000000007,0.14333200000000001,0.0,1.2863139000000001,0.0,0.0,0.0,0.8477531999999999,0.0,1.0967179000000002,0.0289043,0.0,0.0,0.0,0.0557079,0.0,0.0,0.0,0.0,0.1598154,0.29493020000000003,3.1094500000000003,0.43239440000000007,0.0,0.8662566,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1zp8,8.77,81,56,25,0,2.6784375000000002,2.8008789999999997,5.4793164999999995,0.23350500000000002,0.0,0.0,1.5734375999999999,0.0,0.0,0.0,0.8589043999999999,0.0,1.8642655,0.0,0.0,0.0,0.1086173,0.3307928,0.0,0.0,0.0,0.0,0.35256200000000004,0.1572319,3.569558,0.6864565999999999,0.1450684,1.0782335,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1zpa,8.4,92,60,31,1,3.3671664000000003,3.2725206000000004,6.639687,0.6864831,0.7166807999999999,0.0,2.0631727,0.0,0.0,0.0,1.0411354,0.0,0.9661714,0.0,0.0,0.0,0.0,0.210675,0.0,0.0,0.0,0.0,0.29386,0.6615086,4.628477200000001,0.5256546,0.41461490000000006,1.0709403,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1zsf,9.92,95,66,29,0,3.1676052,3.1092807000000007,6.276885900000001,0.748656,0.1019182,0.0,1.7062161,0.0,0.0,0.0,2.0069875,0.0,0.7046509000000001,0.1105419,0.0,0.0,0.0,0.2522683,0.0,0.0,0.0,0.0,0.4417905,0.2038565,4.1703629,0.5176415000000001,0.0763563,1.5125251999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2aoc,4.89,152,101,50,1,4.7101446000000005,4.542964,9.253108600000001,0.7978944,0.2111191,0.0,1.945146,0.0,0.0,0.0,2.22303,0.0,1.4268698,0.10594719999999999,0.0,0.0,0.0,0.2824667,0.0,0.0457954,0.0,0.0,0.8158913999999999,1.3989486000000002,6.9773055,0.26804150000000004,0.1475222,1.8602394,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2aod,5.66,136,97,38,1,4.366222,4.2655546,8.631776599999998,0.6839501000000001,0.111747,0.0,1.8118944,0.0,0.0,0.0,2.2182934999999997,0.0,1.5434237,0.1113439,0.0,0.0,0.0,0.29531640000000003,0.0,0.0,0.0,0.0,0.6753363,1.1804713000000002,6.3356332,0.3773177,0.16274850000000002,1.7560772,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
